Time(s),Actual_State_Of_Charge,Estimated_State_Of_Charge
4.18,0.976778,0.975598
4.19,0.976722,0.975796
4.20,0.976667,0.975978
4.21,0.976611,0.975881
4.22,0.976556,0.975730
4.23,0.976500,0.975794
4.24,0.976444,0.975697
4.25,0.976389,0.975289
4.26,0.976333,0.975457
4.27,0.976278,0.975196
4.28,0.976222,0.975787
4.29,0.976167,0.975591
4.30,0.976111,0.975958
4.31,0.976056,0.976453
4.32,0.976000,0.976220
4.33,0.975944,0.976320
4.34,0.975889,0.975617
4.35,0.975833,0.976126
4.36,0.975778,0.975926
4.37,0.975722,0.976015
4.38,0.975667,0.976062
4.39,0.975611,0.975308
4.40,0.975556,0.974991
4.41,0.975500,0.975389
4.42,0.975444,0.975357
4.43,0.975389,0.975515
4.44,0.975333,0.975460
4.45,0.975278,0.975231
4.46,0.975222,0.975310
4.47,0.975167,0.975264
4.48,0.975111,0.975401
4.49,0.975056,0.975361
4.50,0.975000,0.975554
4.51,0.974944,0.976119
4.52,0.974889,0.975694
4.53,0.974833,0.975931
4.54,0.974778,0.975410
4.55,0.974722,0.975335
4.56,0.974667,0.975556
4.57,0.974611,0.976100
4.58,0.974556,0.976092
4.59,0.974500,0.975825
4.60,0.974444,0.975328
4.61,0.974389,0.975095
4.62,0.974333,0.975084
4.63,0.974278,0.975135
4.64,0.974222,0.975279
4.65,0.974167,0.975096
4.66,0.974111,0.975662
4.67,0.974056,0.975250
4.68,0.974000,0.974922
4.69,0.973944,0.974388
4.70,0.973889,0.974775
4.71,0.973833,0.974856
4.72,0.973778,0.974515
4.73,0.973722,0.974122
4.74,0.973667,0.974433
4.75,0.973611,0.974921
4.76,0.973556,0.974683
4.77,0.973500,0.975012
4.78,0.973444,0.975473
4.79,0.973389,0.975974
4.80,0.973333,0.976267
4.81,0.973278,0.976702
4.82,0.973222,0.977247
4.83,0.973167,0.976659
4.84,0.973111,0.976639
4.85,0.973056,0.976845
4.86,0.973000,0.976815
4.87,0.972944,0.977120
4.88,0.972889,0.977082
4.89,0.972833,0.977052
4.90,0.972778,0.977798
4.91,0.972722,0.977866
4.92,0.972667,0.977479
4.93,0.972611,0.977441
4.94,0.972556,0.978106
4.95,0.972500,0.978936
4.96,0.972444,0.979253
4.97,0.972389,0.979214
4.98,0.972333,0.978910
4.99,0.972278,0.978797
5.00,0.972222,0.978552
5.01,0.972222,0.977872
5.02,0.972222,0.977658
5.03,0.972222,0.977247
5.04,0.972222,0.977753
5.05,0.972222,0.978020
5.06,0.972222,0.977941
5.07,0.972222,0.978551
5.08,0.972222,0.978608
5.09,0.972222,0.979302
5.10,0.972222,0.979042
5.11,0.972222,0.978807
5.12,0.972222,0.978919
5.13,0.972222,0.978891
5.14,0.972222,0.978081
5.15,0.972222,0.978394
5.16,0.972222,0.978615
5.17,0.972222,0.978472
5.18,0.972222,0.979342
5.19,0.972222,0.979419
5.20,0.972222,0.979207
5.21,0.972222,0.978803
5.22,0.972222,0.978694
5.23,0.972222,0.979452
5.24,0.972222,0.979175
5.25,0.972222,0.979591
5.26,0.972222,0.980073
5.27,0.972222,0.980099
